Órgão;Unidade Gestora;Credor;Fase;Contrato;Inscrição Siafi;Moeda de Origem;Saldo Devedor de Curto Prazo;Saldo Devedor de Longo Prazo;Saldo Devedor Total;Juros Apropriados;Estoque
21000 - CMDO AERONAUTICA;;;;;;;474.309.642,09;5.938.714.250,46;6.413.023.892,55;24.870.444,55;6.437.894.337,10
;120002 - 120002-SEFA;;;;;;474.309.642,09;5.938.714.250,46;6.413.023.892,55;24.870.444,55;6.437.894.337,10
;;SEK;;;;;0;3.879.492.870,16;3.879.492.870,16;19.169.013,11;3.898.661.883,27
;;;Desembolsando;SEK-FX2-SEK;11775;SEK;0;3.789.578.122,16;3.789.578.122,16;18.331.906,80;3.807.910.028,96
;;;Desembolsando;SEK-FX2-USD;11774;USD;0;89.914.748,00;89.914.748,00;837.106,30;90.751.854,30
;;Societe Generale;;;;;474.309.642,09;2.059.221.380,30;2.533.531.022,39;5.701.431,45;2.539.232.453,84
;;;Desembolsando e Amortizando;SOCGENPROJ-HX;1601;EUR;474.309.642,09;2.059.221.380,30;2.533.531.022,39;5.701.431,45;2.539.232.453,84
25000 - MIN. DA FAZENDA;;;;;;;713.721.363,96;3.469.382.225,21;4.183.103.589,17;41.787.241,37;4.224.890.830,54
;170600 - 170600-STN/CODIV;;;;;;713.721.363,96;3.469.382.225,21;4.183.103.589,17;41.787.241,37;4.224.890.830,54
;;BBVA;;;;;155.029.517,95;405.310.269,35;560.339.787,30;5.854.546,50;566.194.333,80
;;;Amortizando;BBVA-P3/CLX;1527;USD;155.029.517,95;405.310.269,35;560.339.787,30;5.854.546,50;566.194.333,80
;;BID;;;;;155.337.126,39;892.640.514,13;1.047.977.640,52;5.010.148,73;1.052.987.789,25
;;;Amortizando;BID2192/OCBR;1593;USD;966.028,95;12.558.376,61;13.524.405,57;91.902,96;13.616.308,52
;;;Amortizando;BID2229/OCBR;1588;USD;722.132,17;8.304.520,30;9.026.652,47;9.219,56;9.035.872,03
;;;Amortizando;BID2248/OCBR;1600;USD;36.274.662,83;399.021.291,12;435.295.953,94;444.598,18;435.740.552,12
;;;Amortizando;BID1841/OCBR;501961;USD;1.010.495,36;11.115.449,24;12.125.944,60;82.399,93;12.208.344,53
;;;Amortizando;BID1864/OCBR;1564;USD;664.800,03;9.307.200,34;9.972.000,37;12.731,37;9.984.731,74
;;;Amortizando;BID1811/OCBR;1543;USD;542.372,67;4.881.353,80;5.423.726,47;36.856,08;5.460.582,55
;;;Amortizando;BID1194/OCBR-C;1372;USD;92.977.308,69;232.443.271,92;325.420.580,62;1.755.844,62;327.176.425,24
;;;Amortizando;BID1718/OCBR;1538;USD;13.814.764,93;103.610.736,75;117.425.501,68;1.643.217,08;119.068.718,76
;;;Amortizando;BID1628/OCBR;1511;USD;6.985.143,56;48.896.004,97;55.881.148,52;781.983,94;56.663.132,47
;;;Desembolsando e Amortizando;BID2580/OCBR;1617;USD;1.379.417,21;17.932.423,94;19.311.841,15;56.708,02;19.368.549,16
;;;Amortizando;BID2791/OCBR;1604;USD;0;12.527.396,00;12.527.396,00;36.510,36;12.563.906,36
;;;Totalmente Desembolsado;BID2919/OCBR;1631;USD;0;18.479.689,13;18.479.689,13;18.350,30;18.498.039,44
;;;Desembolsando;BID3142/OCBR;1637;USD;0;13.562.800,00;13.562.800,00;39.826,34;13.602.626,34
;;;Desembolsando;BID3391/OCBR;11771;USD;0;0;0;0;0
;;BIRD;;;;;321.531.095,05;2.028.808.310,06;2.350.339.405,11;28.124.161,32;2.378.463.566,42
;;;Desembolsando;BIRDTF019211;1636;USD;0;2.514.080,00;2.514.080,00;192,06;2.514.272,06
;;;Totalmente Desembolsado;BIRD8095-BR;1621;USD;0;79.005.130,72;79.005.130,72;494.661,45;79.499.792,17
;;;Amortizando;BIRD7227-BR;1501;USD;28.002.780,18;40.336.090,23;68.338.870,40;548.590,28;68.887.460,69
;;;Concluído;BIRD4708-BR;1512;USD;980.174,26;0;980.174,26;2.592,58;982.766,84
;;;Amortizando;BIRD7331-BR;1523;USD;1.469.510,92;5.864.733,09;7.334.244,01;131.344,50;7.465.588,51
;;;Amortizando;BIRD7299-BR;1476;USD;181.616.543,76;633.915.778,04;815.532.321,80;22.487.850,69;838.020.172,49
;;;Amortizando;BIRD7428-BR;1541;USD;1.310.830,73;6.542.553,30;7.853.384,03;72.507,82;7.925.891,85
;;;Amortizando;BIRD7386-BR;1573;USD;41.383.080,00;165.135.360,00;206.518.440,00;448.833,41;206.967.273,41
;;;Amortizando;BIRD7338-BR;1549;USD;313.842,33;1.252.879,33;1.566.721,66;23.503,74;1.590.225,40
;;;Amortizando;BIRD7545-BR;1560;USD;4.513.000,86;88.003.516,56;92.516.517,42;1.552.192,99;94.068.710,42
;;;Amortizando;BIRD7632-BR;1510;USD;11.082.520,61;221.720.507,46;232.803.028,07;209.005,39;233.012.033,47
;;;Amortizando;BIRD8074-BR;502030;USD;2.441.169,10;47.703.818,57;50.144.987,67;96.946,96;50.241.934,63
