Data;Rubrica;valor
01/01/1997;I.1.3.1  I.R. - Pessoa Física;3479531,286
01/02/1997;I.1.3.1  I.R. - Pessoa Física;3489421,205
01/03/1997;I.1.3.1  I.R. - Pessoa Física;3717723,312
01/04/1997;I.1.3.1  I.R. - Pessoa Física;26593813,59
01/05/1997;I.1.3.1  I.R. - Pessoa Física;12569488,93
01/06/1997;I.1.3.1  I.R. - Pessoa Física;10558411,02
01/07/1997;I.1.3.1  I.R. - Pessoa Física;11785508,17
01/08/1997;I.1.3.1  I.R. - Pessoa Física;10876631,81
01/09/1997;I.1.3.1  I.R. - Pessoa Física;10319104,35
01/10/1997;I.1.3.1  I.R. - Pessoa Física;4779241,377
01/11/1997;I.1.3.1  I.R. - Pessoa Física;3982073,742
01/12/1997;I.1.3.1  I.R. - Pessoa Física;7035139,293
01/01/1998;I.1.3.1  I.R. - Pessoa Física;5258239,761
01/02/1998;I.1.3.1  I.R. - Pessoa Física;3569792,986
01/03/1998;I.1.3.1  I.R. - Pessoa Física;5536134,899
01/04/1998;I.1.3.1  I.R. - Pessoa Física;34259343,71
01/05/1998;I.1.3.1  I.R. - Pessoa Física;13255932,39
01/06/1998;I.1.3.1  I.R. - Pessoa Física;11526888,16
01/07/1998;I.1.3.1  I.R. - Pessoa Física;12176800,73
01/08/1998;I.1.3.1  I.R. - Pessoa Física;17766995,63
01/09/1998;I.1.3.1  I.R. - Pessoa Física;11188392,64
01/10/1998;I.1.3.1  I.R. - Pessoa Física;4437979,898
01/11/1998;I.1.3.1  I.R. - Pessoa Física;4351205,048
01/12/1998;I.1.3.1  I.R. - Pessoa Física;6947856,629
01/01/1999;I.1.3.1  I.R. - Pessoa Física;4113146,115
01/02/1999;I.1.3.1  I.R. - Pessoa Física;5159690,9
01/03/1999;I.1.3.1  I.R. - Pessoa Física;5258273,399
01/04/1999;I.1.3.1  I.R. - Pessoa Física;35982787,62
01/05/1999;I.1.3.1  I.R. - Pessoa Física;14498360,41
