Tipo de Credor;Credor;Modalidade de Contratação;Fase;Contrato;IG;Moeda de Origem;Valor Contratado;Valor Cancelado;Valor Desembolsar;Valor Desembolsado;Saldo Devedor;Valor Amortizado
Agências Governamentais;CREDIT;Ag.Gov Pd;Amortizando;PROT.FRANCES;1298;EUR;229.434.602,81;0;0;229.434.602,81;12.535.233,55;35.534.679,72
Agências Governamentais;EXIMBANK;Ag. Gov 3;Concluído;EXIMBANK7460;83;USD;166.572.551,70;0;0;166.572.551,70;4.904.091,18;102.819.369,96
Agências Governamentais;KFW;Ag Gov Var;Amortizando;KFW8990-0102;1384;USD;529.895.362,86;25.842.848,14;0;529.895.362,86;73.316.190,97;9.167.559,97
Agências Governamentais;KFW;Ag Gov Var;Concluído;KFW/CARLZEIS;1463;EUR;125.536.974,04;0;0;125.536.974,04;0;3.185.703,71
Agências Governamentais;KFW;Ag.Gov Pd;Concluído;KFW/DORNIER;1405;EUR;27.199.975,35;0;0;27.199.975,35;0;807.865,36
Agências Governamentais;KFW;Ag.Gov Pd;Concluído;KFW7165541;1184;EUR;5.455.622,46;0;0;5.455.622,46;0;5.455.622,46
Agências Governamentais;KFW;Ag.Gov Pd;Amortizando;KFW(PI);1361;EUR;30.432.847,51;8.979,24;0;30.432.847,51;4.049.931,06;18.265.096,00
Agências Governamentais;KFW;Ag.Gov Pd;Concluído;KFW(CE);1149;EUR;22.917.791,35;1.435.670,02;0;22.917.791,35;0;22.917.791,35
Agências Governamentais;KFW;Ag.Gov Pd;Concluído;KFW9065095;1064;EUR;59.539.038,00;0;0;29.581.530,68;0;29.581.530,68
Agências Governamentais;SEK;Ag Gov Var;Desembolsando;SEK-FX2-USD;11774;USD;811.535.100,00;0;721.620.352,00;89.914.748,00;89.914.748,00;0
Agências Governamentais;SEK;Ag Gov Var;Desembolsando;SEK-FX2-SEK;11775;SEK;16.076.178.410,09;0;12.286.600.287,92;3.789.578.122,16;3.789.578.122,16;0
Agências Governamentais;USAID;USAID;Concluído;USAID512L60;500190;USD;1.296.644,90;0;0;1.296.644,90;0;1.296.644,96
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC/SP-SC;501645;JPY;1.521.544.751,58;0;0;1.521.544.751,58;0;54.033.503,29
Agências Governamentais;USAID;USAID;Concluído;USAID512L076;500006;USD;8.574.633,72;0;0;6.639.486,87;0;6.639.486,87
Agências Governamentais;USAID;USAID;Concluído;USAID512L078;196;USD;105.856.000,00;0;0;78.020.854,58;0;78.020.854,58
Agências Governamentais;USAID;USAID Cron;Concluído;USAIDL153ABR;1355;USD;185.836.317,48;0;0;185.836.317,48;0;185.836.317,48
Agências Governamentais;USAID;USAID Cron;Concluído;USAID-TFCA;1616;USD;27.655.189,76;0;0;27.655.189,76;0;9.920.591,24
Agências Governamentais;USAID;USAID Cron;Concluído;USAID512L077;119;USD;26.855.882,85;0;0;26.855.882,85;0;26.855.882,85
Agências Governamentais;USAID;USAID Cron;Concluído;USAID512L054;500549;USD;27.219.162,88;0;0;15.424.192,61;0;15.424.192,61
Credores Privados;BAMB;CredPrivVa;Concluído;BAMB67303;1217;USD;4.110.397.357,65;151.151.406,31;0;4.110.397.357,65;0;4.110.397.357,65
Credores Privados;BANKLEUMILEBM;CredPrivVa;Concluído;LEUMI/BNP-AL-X;1480;USD;148.828.225,30;9.305.400,92;0;148.828.225,30;0;148.828.225,30
Credores Privados;BBVA;CredPrivVa;Concluído;BBVA OP BRA 01 009/97;1404;EUR;66.568.001,93;0;0;66.568.001,93;0;7.988.160,22
Credores Privados;BBVA;CredPrivVa;Amortizando;BBVA-P3/CLX;1527;USD;2.214.823.544,06;96.575.295,94;0;2.214.823.544,06;560.339.787,30;421.784,49
Agências Governamentais;JBIC;JBIC/JICA;Concluído;BZ-P5/OECF;501176;JPY;223.253.134,81;0;0;223.253.134,81;0;215.103.740,32
Credores Privados;BNP;CredPrivAD;Concluído;BNP-COUGAR F;1425;USD;188.337.176,20;90.416.777,52;0;188.337.176,20;0;484.620,05
Credores Privados;BNP;CredPrivVa;Concluído;PARIBAS;1394;USD;2.055.398,54;1.506.797.706,81;0;2.055.398,54;0;640.680,21
Credores Privados;BNP;CredPrivVa;Concluído;BNPPARIB-AMX;1575;EUR;181.012.413,12;156.375.468,88;0;181.012.413,12;0;15.357.608,06
Credores Privados;BNP;CredPrivVa;Concluído;BNPPARIB SAG;1446;EUR;21.165.736,92;0;0;21.165.736,92;0;2.877.669,24
Credores Privados;BNP;CredPrivVa;Desembolsando e Amortizando;PROSUB1BRNAV;1599;EUR;17.164.875.156,22;0;9.970.187.732,56;7.194.687.423,67;1.809.336.010,07;901.939.425,61
Credores Privados;BNP;CredPrivVa;Amortizando;BNP S/N-0102;1386;USD;631.674.700,53;22.134.959,47;0;631.674.700,53;63.813.396,73;14.550.649,78
Credores Privados;Deutsche BK;CredPrivVa;Concluído;DEUTSCHE/FOR;1440;USD;10.169.983,97;0;0;10.169.983,97;0;10.169.983,97
Credores Privados;EFIBANCA;CredPrivVa;Concluído;EFIBANCA90M;1392;USD;73.368.218,67;224.351.781,33;0;73.368.218,67;0;4.334.783,25
Credores Privados;FOCEM;CredPrivVa;Em negociação;FOCEM-BAS;11773;USD;0;0;0;0;0;0
Credores Privados;RBC-Cayman;CredPrivPd;Amortizando;RBC-CAYMAN;501621;USD;526.784,87;36.979,54;0;406.573,15;184.536,65;0
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC/BR-381;501660;JPY;521.366.208,30;272.483.227,31;0;521.366.208,30;0;66.772.182,08
Credores Privados;Societe Generale;CredPrivVa;Desembolsando e Amortizando;SOCGENPROJ-HX;1601;EUR;7.001.873.366,09;0;2.178.724.839,27;4.823.148.526,83;2.533.531.022,39;0
Organismos Multilaterais;BID;BID FSO;Concluído;BID760/SFBR;122;USD;84.550.057,88;0;0;84.550.057,88;0;84.550.057,88
Organismos Multilaterais;BID;BID FSO;Concluído;BID880/OCBR - C;501620;USD;0;294.652.703,48;0;0;0;294.652.703,48
Organismos Multilaterais;BID;BID FSO;Concluído;BID883/SFBR;1046;USD;72.776.000,00;0;0;71.077.193,64;17.769.298,09;71.077.193,64
Organismos Multilaterais;BID;BID FSO;Concluído;BID767/OCBR-C;501477;USD;0;33,08;0;0;46.987.144,90;422.884.303,60
Organismos Multilaterais;BID;BID FSO;Concluído;BID856/SFBR;889;USD;161.670.971,46;0;0;161.670.971,46;24.728.017,01;41.213.361,60
Organismos Multilaterais;BID;BID FSO;Concluído;BID1013/SFBR;1292;USD;72.803.980,95;6.588.019,05;0;72.803.980,95;31.201.094,74;39.001.368,46
Organismos Multilaterais;BID;BID FSO;Concluído;BID622/OCBR-C;861;USD;0;3,31;0;0;183.835.519,26;428.949.545,12
Organismos Multilaterais;BID;BID FSO;Concluído;BID878/SFBR;501602;USD;41.350.000,00;0;0;41.350.000,00;10.337.500,00;41.350.000,00
Organismos Multilaterais;BID;BID FSO;Concluído;BID12/CDBR;5;CAD;2.230.615,40;0;0;1.074.000,02;330.461,56;1.074.000,02
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC/REEQ.;1396;JPY;214.912.678,00;0,03;0;214.912.678,00;0;72.852.290,72
Organismos Multilaterais;BID;BID FSO;Concluído;BID814/OCBR;1171;USD;31.816.375,49;1.263.624,51;0;31.816.375,49;6.363.275,15;31.816.375,49
Agências Governamentais;JBIC;JBIC/JICA;Amortizando;JBICBZ-P14;1515;JPY;102.498.716,09;3.200.866,17;0;102.498.716,09;58.173.198,44;4.973.725,80
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC-FINEP;501671;JPY;99.083.802,95;0;0;98.269.006,06;0;98.269.006,06
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JBIC;1401;JPY;308.242.022,54;69.097,74;0;308.242.022,54;0;78.131.499,08
Agências Governamentais;JBIC;JBIC/JICA;Concluído;JICA/PRODIII;1143;JPY;171.783.857,37;38.556.841,23;0;171.783.857,37;0;171.783.857,37
