Órgão;Unidade Gestora;Credor;Fase;Contrato;Inscrição Siafi;Moeda de Origem;Saldo Devedor de Curto Prazo;Saldo Devedor de Longo Prazo;Saldo Devedor Total;Juros Apropriados;Estoque
21000 - CMDO AERONAUTICA;;;;;;;565.073.488,68;7.491.464.216,18;8.056.537.704,86;35.776.055,27;8.092.313.760,13
;120002 - 120002-SEFA;;;;;;565.073.488,68;7.491.464.216,18;8.056.537.704,86;35.776.055,27;8.092.313.760,13
;;SEK;;;;;0;5.484.269.838,27;5.484.269.838,27;30.674.390,69;5.514.944.228,96
;;;Desembolsando;SEK-FX2-SEK;11775;SEK;0;5.317.122.590,67;5.317.122.590,67;29.097.774,29;5.346.220.364,96
;;;Desembolsando;SEK-FX2-USD;11774;USD;0;167.147.247,60;167.147.247,60;1.576.616,40;168.723.864,00
;;Societe Generale;;;;;565.073.488,68;2.007.194.377,91;2.572.267.866,59;5.101.664,58;2.577.369.531,16
;;;Desembolsando e Amortizando;SOCGENPROJ-HX;1601;EUR;565.073.488,68;2.007.194.377,91;2.572.267.866,59;5.101.664,58;2.577.369.531,16
25000 - MIN. DA FAZENDA;;;;;;;781.724.831,22;3.423.563.207,12;4.205.288.038,34;41.706.547,53;4.246.994.585,87
;170600 - 170600-STN/CODIV;;;;;;781.724.831,22;3.423.563.207,12;4.205.288.038,34;41.706.547,53;4.246.994.585,87
;;BBVA;;;;;154.912.984,38;319.844.038,49;474.757.022,87;4.884.098,02;479.641.120,90
;;;Amortizando;BBVA-P3/CLX;1527;USD;154.912.984,38;319.844.038,49;474.757.022,87;4.884.098,02;479.641.120,90
;;BID;;;;;181.952.931,48;931.833.412,55;1.113.786.344,03;6.120.341,92;1.119.906.685,95
;;;Desembolsando e Amortizando;BID2580/OCBR;1617;USD;1.615.769,59;19.389.235,33;21.005.004,92;90.534,43;21.095.539,35
;;;Amortizando;BID2192/OCBR;1593;USD;1.131.550,48;13.578.606,02;14.710.156,50;146.577,64;14.856.734,14
;;;Amortizando;BID2229/OCBR;1588;USD;845.863,88;8.881.571,21;9.727.435,09;14.583,16;9.742.018,25
;;;Amortizando;BID2248/OCBR;1600;USD;42.490.043,38;424.900.433,89;467.390.477,27;700.701,55;468.091.178,82
;;;Amortizando;BID1841/OCBR;501961;USD;1.183.635,85;11.836.358,92;13.019.994,78;129.736,21;13.149.730,98
;;;Amortizando;BID1864/OCBR;1564;USD;778.708,33;10.123.208,21;10.901.916,53;20.429,88;10.922.346,42
