Credor;Modalidade Contratação;Fase;Contrato;Inscrição Siafi;Moeda de origem;Saldo Devedor na Moeda;Saldo Devedor em Dolar;Saldo Devedor em Reais
;;;;;;14.118.901.251,97;1.447.057.995,33;5.607.060.320,31
CREDIT;;;;;;2.165.088,42;2.480.325,29;9.610.764,45
;Agência Governamental Padrão;;;;;2.165.088,42;2.480.325,29;9.610.764,45
;;Amortizando;PROT.FRANCES;1298;EUR;2.165.088,42;2.480.325,29;9.610.764,45
EXIMBANK;;;;;;0;0;0
;Agência Governamental Avança Vencimento;;;;;0;0;0
;;Concluído;EXIMBANK7460;83;USD;0;0;0
JBIC;;;;;;1.790.123.000,00;16.290.135,59;63.121.017,38
;JBIC/JICA Vencimento Padrão;;;;;1.790.123.000,00;16.290.135,59;63.121.017,38
;;Amortizando;JBICBZ-P14;1515;JPY;1.790.123.000,00;16.290.135,59;63.121.017,38
KFW;;;;;;12.844.926,31;12.919.041,04;50.058.700,21
;Agência Governamental Padrão;;;;;509.029,71;583.144,44;2.259.568,06
;;Amortizando;KFW(PI);1361;EUR;509.029,71;583.144,44;2.259.568,06
;Agência Governamental Vencimento Variável;;;;;12.335.896,60;12.335.896,60;47.799.132,15
;;Amortizando;KFW8990-0102;1384;USD;12.335.896,60;12.335.896,60;47.799.132,15
SEK;;;;;;12.313.768.237,24;1.415.368.493,41;5.484.269.838,27
;Agência Governamental Vencimento Variável;;;;;12.313.768.237,24;1.415.368.493,41;5.484.269.838,27
;;Desembolsando;SEK-FX2-USD;11774;USD;43.137.000,00;43.137.000,00;167.147.247,60
;;Desembolsando;SEK-FX2-SEK;11775;SEK;12.270.631.237,24;1.372.231.493,41;5.317.122.590,67
;;;;;;1.252.133.291,77;1.415.075.618,16;5.483.135.005,25
BBVA;;;;;;122.524.265,22;122.524.265,22;474.757.022,87
;Credores Privados Vencimento Variável;;;;;122.524.265,22;122.524.265,22;474.757.022,87
;;Amortizando;BBVA-P3/CLX;1527;USD;122.524.265,22;122.524.265,22;474.757.022,87
BNP;;;;;;550.079.319,34;628.650.242,65;2.435.893.960,23
;Credores Privados Vencimento Variável;;;;;550.079.319,34;628.650.242,65;2.435.893.960,23
;;Desembolsando e Amortizando;PROSUB1BRNAV;1599;EUR;539.635.462,31;618.206.385,62;2.395.426.103,01
;;Amortizando;BNP S/N-0102;1386;USD;10.443.857,03;10.443.857,03;40.467.857,22
RBC-Cayman;;;;;;55.784,96;55.784,96;216.155,56
;Credores Privados Padrão;;;;;55.784,96;55.784,96;216.155,56
;;Amortizando;RBC-CAYMAN;501621;USD;55.784,96;55.784,96;216.155,56
Societe Generale;;;;;;579.473.922,25;663.845.325,33;2.572.267.866,59
